precision,recall,f1,accuracy,model,roc_auc,average_prec
0.7572815533980582,0.6190476190476191,0.6812227074235808,0.7653541982163891,rfc,0.8459532222783106,0.7041129951318015
0.5930232558139535,0.8095238095238095,0.6845637583892618,0.7810869931011274,log,0.8439340400471143,0.6597435200516479
0.674074074074074,0.7222222222222222,0.6973180076628352,0.783372595210051,gpc,0.8597229233271636,0.7043442628755812
0.6890756302521008,0.6507936507936508,0.6693877551020408,0.760025800661843,xgb,0.8366425486566829,0.675929935544375
