,acc,prec,recall,brier,roc_auc,pr
mean,0.5973328204139998,0.6146027893819643,0.32953577960336716,0.2194008982549941,0.6988578704022115,0.6105308854706331
lower_CI,0.5516855327292075,0.5151298701298701,0.25,0.19586787090181787,0.6428567291142592,0.5320815868027332
upper_CI,0.6421711192493333,0.7241379310344828,0.4074074074074074,0.24255204308805314,0.7550322182788392,0.6874860494903244
